teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS,SOS,NET
Illinois,31,29.3226,24.8387,58.6774,60.4194,49.8806,41.1839,22.7742,18.3548,41.0968,40.7097,55.4387,45.1323,6.5484,6.4839,22.4516,26.7742,35.1355,30.1645,55.4419,46.5,15.3548,12.4839,24.7419,31.5806,67.3548,55.5452,10.4516,8.3871,29.5161,22.0323,16.3226,11.1935,5.6774,6.7097,2.8065,3.8387,13.0645,11.6129,17.7419,19.6129,80.5484,68.6452,7,15
IllinoisState,25,27.16,27.68,59,57.88,45.492,76.948,19.36,19.76,36.44,36.2,52.084,54.492,7.8,7.92,22.56,25.6,35.976,30.96,52.12,51.396,9.84,11.52,23.08,24.68,56.216,61.4,8.32,9.72,26.92,26.12,13.8,15.88,6,7,3.32,2.48,13.88,11.96,16.44,14.72,71.96,74.8,126,200
IncarnateWord,22,23.8182,26.6364,53.5909,57.5455,44.2091,46.4955,16.1818,20.9091,33.1364,38.7273,48.2909,54.3273,7.6364,5.7273,20.4545,18.8182,37.2136,31.6409,51.4227,51.4409,12.6818,12.7273,27.3182,25.4545,61.3545,62.0864,7.7727,10.3182,23.2727,24.5909,12.2273,14.2273,5.3636,6.6818,1.8182,3,13.9545,12.9091,17.9545,17.5909,67.9545,71.7273,267,350
Indiana,27,24.2222,24.2593,55.9259,57,43.3593,42.7296,18.3704,17.1111,37.8519,35.5926,48.9704,48.6074,5.8519,7.1481,20.9259,21.4074,31.1889,33.737,48.5889,49.0333,15.4074,13.7037,29.3333,24.5556,61.5741,66.7222,9.037,9.6296,25.5185,26.4074,13.9259,11.8148,5.7407,5.8889,3.7407,3.6296,11.9259,12.2222,17.7778,19.8148,69.7037,69.3704,4,44
IndianaState,25,23.2,24.28,53.52,53.88,43.52,45.112,17.24,17.32,35.64,33.4,48.252,51.868,5.96,6.96,17.88,20.48,34.516,34.432,49.128,51.604,14.12,10.28,21.72,34,70.412,51.296,8.28,8.6,23.56,24.68,10.68,13.28,6.56,5.16,2.88,2.64,12.08,14.68,14.92,17.76,66.48,65.8,119,238
Iona,18,24.7778,21.5556,56.1111,53.5,44.3389,40.4389,17.4444,15.5,34.9444,33.4444,50.0056,46.5611,7.3333,6.0556,24.8889,24.6111,32.5833,29.2056,50.9389,46.1389,14.3889,16.8889,27.1667,24.6667,65.9889,67.8944,10.8333,9.5,26,22.5556,13.6111,11.5,6.8333,7.5,4.1667,2.5556,15.6111,13.7222,21.6111,19.2778,71.2778,66.0556,315,89
Iowa,31,29.7742,27.0968,63.2903,64.5806,47.1065,42.1387,20.0645,18.2258,38.129,39.0968,52.7903,46.7516,9.7097,8.871,25.1613,25.4839,38.7161,34.6839,54.8161,49.0387,14.4516,9.6774,26.8387,27.9677,65.3129,52.2935,11.2903,11.6774,28.4516,25.2903,19.0323,16.3226,5.5806,5.3548,4.5161,3.1613,9.4516,11.4516,14.9677,18.5161,83.7097,72.7419,15,14
IowaState,24,24.625,27.125,58.875,58.6667,41.8167,46.2917,17.3333,20.5,36.125,38.5833,48.1458,53.7625,7.2917,6.625,22.75,20.0833,31.8958,32.4958,47.9208,51.9,9.0417,15.75,38.3333,21.25,47.925,73.5875,8.5833,11.375,23,26.7083,11.5833,13.25,6.5,8.0833,3.125,3.25,14.875,13.0417,18.625,13.875,65.5833,76.625,3,41
IUPUI,18,25.1111,27.3889,59.3889,57.7222,42.4944,47.5111,17.1667,21.2778,36.2778,37.6667,47.4167,56.9444,7.9444,6.1111,23.1111,20.0556,35.0778,29.6944,49.2333,52.7778,13,14.8889,27.4444,25.2222,62.35,67.6889,9.1667,8.2222,24.3889,27.2778,13.2778,12.8889,6.8889,6.7778,2.2222,2.1111,13.8889,13.7778,18.8889,16,71.1667,75.7778,326,358
JacksonState,18,22.0556,21.3889,55.6111,54.2222,39.55,39.1444,16.5,16.7222,39.2778,38.8333,42.35,43.1111,5.5556,4.6667,24.6111,28.6111,29.7722,26.1889,44.6056,43.4056,15.9444,15.3889,27.8889,22.3333,64.5444,69.05,10.3889,9.5,26.1667,25.6111,10.4444,9.6667,8.1667,6.6111,3.2778,3.0556,15.3889,15.7222,19.2778,18.5556,65.6111,62.8333,290,277
Jacksonville,24,24.0417,25.5,55,58.0833,43.6375,43.9542,16.9583,17.9167,33.0833,35.0833,50.925,50.9917,7.0833,7.5833,21.9167,23,33.175,32.4208,50.1083,50.575,12.4167,10.6667,21.9583,26.1667,63.2583,58.1208,8.5833,10.25,24.625,25.375,11.2083,13.0417,6.8333,6.375,2.625,2.5417,14.3333,14.5417,15.5417,17.9167,67.5833,69.25,324,168
JacksonvilleState,27,26.7778,24.963,58.0741,60.8148,46.4704,41.3444,18.6667,16.6296,35.2593,35.4074,53.7037,47.5111,8.1111,8.3333,22.8148,25.4074,35.2815,33.1222,53.4333,48.263,12.5926,10.2963,25.3704,25.4444,61.4444,58.5667,11.1481,10.6667,27.6667,23.1852,14.1852,12.9259,5,6.1481,3.4815,2.6296,13.3333,11.3704,15.3333,16.5556,74.2593,68.5556,235,148
JamesMadison,20,27.15,24,60.05,58.25,45.085,41.38,18.85,15.5,35.75,31.25,52.485,50.12,8.3,8.5,24.3,27,33.915,31.065,52.05,48.705,15.5,13.95,23.2,26.15,66.665,68,11,10.6,26.35,26.45,13.8,13.25,7.45,5.95,2,3.2,12.15,16,18.75,19.8,78.1,70.45,233,211
Kansas,30,26.3,24.1667,60.2333,58.2667,43.74,41.6867,18.7333,16.7667,38.2,36.3,49.3833,46.19,7.5667,7.4,22.0333,21.9667,33.7467,34.6167,49.96,48.0633,12.8667,11.2,23.3333,20.3667,66.8633,67.0433,11.1667,9.4667,26.2333,25.1333,13.8333,11.7,6.8667,6,3.9667,2.9667,11.9667,13.8667,15.3333,16.5333,73.0333,66.9333,16,3
KansasState,29,22.3793,24.8276,54.3793,54,41.3138,45.6862,15.7931,16.8276,32.1379,32.069,49.8241,52.3483,6.5862,8,22.2414,21.931,29.7621,35.5759,47.431,53.031,10.4483,12.5862,36.0345,30.4138,47.8828,60.2241,10.2069,8.8276,22.6552,24.1034,13,13.4828,5.5517,7.8276,1.5172,3.1034,14.8621,13.3103,17,15.2414,61.7931,70.2414,20,69
KennesawState,24,23.7917,25.25,56.625,55.875,41.8708,45.4083,16.9583,19.3333,34.7083,37.2083,49.2167,52.3333,6.8333,5.9167,21.9167,18.6667,30.4292,32.0417,47.8458,50.7125,11.0417,13.25,19.0417,30.7917,62.3792,60.8417,8.9583,7.7917,25,26.125,10.8333,10.4167,5.75,6.9167,2.5,2.4167,14.2083,12.75,17.9167,17.375,65.4583,69.6667,190,224
KentState,23,27.6087,25.4348,62.2609,60.2174,44.2435,42.2435,19.5652,17.1739,37.6087,36.3043,51.9217,47.3348,8.0435,8.2609,24.6522,23.913,32.7565,34.7783,50.7435,49.1348,13.4348,11.9565,29.913,23.7826,64.4826,65.1043,12.6087,10.0435,26.3043,23.2609,14.3478,12.7826,6.7826,6.6957,3.2609,2.6087,13.5652,12.913,17.087,17.0435,76.6957,71.087,149,138
Kentucky,25,24.6,25.12,59.04,60.84,41.716,41.376,18.2,18.56,40.04,39.84,45.688,46.68,6.4,6.56,19,21,32.444,31.408,47.084,46.824,14.84,13.36,25.76,21.56,68.584,72.172,12.04,11.44,26.04,24.72,12.48,12.28,6.28,6.16,5.92,3.64,13.96,12.68,18.08,18.28,70.44,70.16,13,9
Lafayette,15,27,28.1333,61.8667,61.2667,43.7933,45.96,18.4,22,38,42.8,48.7067,51.48,8.6,6.1333,23.8667,23.6,35.78,31.38,50.9133,51.04,15.0667,14.2667,18.7333,25.2,81.5933,67.3933,8.8667,10.4,26.1333,28.5333,16.2,13.4667,6.2667,5.0667,3.4,3,10.8667,11.6,18.6667,17.5333,77.6667,76.6667,316,225
Lamar,28,23.9286,26.6786,57.4286,58.75,41.8357,45.3893,18.9643,18.6071,41.5357,37.8929,45.8214,49.3929,4.9643,8.0714,20.1786,20.8571,30.8357,39.2,46.2214,52.3393,13,10.9286,25.6071,31.6071,65.5179,52.7786,9.6071,10.0357,24.9286,26.75,11.8571,15,7.1429,6.9643,4.2143,3.2857,14.1429,14.0714,16.6429,16.9286,65.8214,72.3571,226,319
LaSalle,25,25.32,25.8,58.12,56.72,43.888,45.596,17.52,18.8,35.2,35.36,50.068,53.124,7.8,7,22.92,21.36,34.584,33.084,50.756,51.864,9.64,14.92,35.2,20.08,47.416,73.604,9.36,9.72,23.8,25.52,12.72,14.68,7.44,7.16,3.32,2.88,14.44,13.68,17.32,14.48,68.08,73.52,98,354
Lehigh,15,25.8667,27.4667,60.0667,58.6,43.3467,47.08,21,20.0667,44.6667,38.4,47.2,52.3333,4.8667,7.4,20.5333,20.2,28.5267,36.1933,47.38,53.4933,11.7333,14.2667,32.1333,19.2,60.0267,76.0133,9.1333,8,25.6,27.5333,12.7333,14.1333,6,7.0667,2.1333,3.2667,13.0667,12.1333,17.8667,16.0667,68.3333,76.6,237,299
Liberty,29,26.9655,21.8621,55.3103,53.4138,48.7172,41.0034,16.7241,15.9655,29.069,34.3103,57.8517,46.4138,10.2414,5.8966,26.2414,19.1034,38.631,30.3276,58.0138,46.4897,10.2069,10.3448,30.931,27.3793,58.7793,55.3379,7.1034,7.4138,26.3448,22.4483,15.7931,9.1034,4.6552,5.3793,2.4483,2.2069,9.9655,11.7586,14.7931,14.0345,74.3793,59.9655,284,118
Lipscomb,27,25.4444,25.7407,55.2963,59.4815,45.963,43.4111,18.037,17.6296,34.2222,34.1111,52.9259,52.2407,7.4074,8.1111,24.1852,25.3704,33.737,31.8,52.663,50.2778,12.8889,8.8519,20.2222,31.5926,66.1889,48.2222,7.7037,9.4815,26.2963,25,13.4815,12.7037,6.1852,5.8889,1.963,3.037,12.0741,12.8519,13.9259,16.0741,71.1852,68.4444,275,268
LittleRock,26,24.5385,24.8077,53.8462,56.7308,45.8577,44.0615,18.8846,17.0769,35.7308,34.3846,53.0577,49.7731,5.6538,7.7308,18.1154,22.3462,32.2808,35.2577,51.2462,50.9192,13.9615,11.1923,19.8846,31.6154,69.6731,56.9577,10.0385,9.2692,24.4615,22.2692,13.6154,13.3462,6.3462,6.6154,3.3077,2.9615,15.0769,13.9231,15.9615,18.5385,68.6923,68.5385,278,315
LongBeachState,18,25.8889,27.6111,58.1667,64.2778,44.8611,43.3056,18.8333,19.2222,38.5,39.8889,49.8944,48.9722,7.0556,8.3889,19.6667,24.3889,35.5111,34.1111,50.9722,49.9444,14.9444,15.8333,21.9444,27.3333,67.7111,66.6889,8.1667,12.3333,26.8333,27.2222,11.6667,13.7222,6.2222,7.4444,2.8889,2.8333,16,13.4444,19.3889,19.5,73.7778,79.4444,238,159
LongIsland,18,26.6111,26.9444,64.1667,60.8333,41.6444,44.1333,19.1667,20.1111,38.2222,39.5,50.5556,50.4056,7.4444,6.8333,25.9444,21.3333,28.7944,32.1833,47.5222,49.7778,13.3333,12.2222,24.4444,24.5556,63.4944,62.8556,13.3333,10.2778,25.8333,27.1667,16.2778,14.0556,8.4444,6.6111,3.8333,2.8889,14.3889,15.5556,17.5,17.7778,74,72.9444,311,244
Longwood,29,23.6207,23.8621,54.4483,53.069,43.4724,44.9103,16.4828,16.5517,33.7586,29.6207,48.831,55.5448,7.1379,7.3103,20.6897,23.4483,33.5345,30.9172,50.1138,51.8207,11.8276,12.7586,30.6552,18.8621,57.3655,69.9138,9.4138,8.7241,23.4828,24.6207,10.6552,11.8276,6.1034,6.3103,1.7931,3.3448,13.1379,13.5862,17.2414,17.0345,66.2069,67.7931,239,131
