teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
NonDivI-ConcordiaCollege(MN),1,19.0,32.0,50.0,64.0,38.0,50.0,15.0,24.0,39.0,37.0,38.5,64.9,4.0,8.0,11.0,27.0,36.4,29.6,42.0,56.2,2.0,16.0,45.0,21.0,0.0,76.2,6.0,17.0,18.0,27.0,5.0,14.0,2.0,7.0,3.0,7.0,17.0,10.0,19.0,6.0,44.0,88.0
NonDivI-Northland,2,20.5,40.5,57.5,63.0,35.8,64.65,13.0,22.5,30.5,29.5,42.7,76.0,7.5,18.0,27.0,33.5,29.15,53.75,42.4,78.75,2.0,12.5,68.5,51.0,1.1,40.75,3.5,9.0,14.5,36.0,8.5,23.5,3.5,7.5,0.5,3.0,14.0,9.5,12.5,12.0,50.5,111.5
NonDivI-EdwardWaters,1,25.0,33.0,72.0,67.0,34.7,49.3,24.0,17.0,56.0,34.0,42.9,50.0,1.0,16.0,16.0,33.0,6.2,48.5,35.4,61.2,6.0,21.0,78.0,28.0,5.7,75.0,10.0,12.0,24.0,37.0,10.0,22.0,3.0,7.0,2.0,8.0,15.0,12.0,18.0,14.0,57.0,103.0
NonDivI-OklahomaChristian,1,21.0,34.0,50.0,62.0,42.0,54.8,16.0,24.0,38.0,33.0,42.1,72.7,5.0,10.0,12.0,29.0,41.7,34.5,47.0,62.9,6.0,6.0,10.0,13.0,60.0,46.2,7.0,13.0,20.0,24.0,7.0,13.0,10.0,12.0,1.0,1.0,21.0,12.0,16.0,13.0,53.0,84.0
NonDivI-Embry-Riddle(AZ),1,19.0,37.0,55.0,61.0,34.5,60.7,15.0,20.0,41.0,32.0,36.6,62.5,4.0,17.0,14.0,29.0,28.6,58.6,38.2,74.6,12.0,10.0,25.0,28.0,48.0,35.7,6.0,11.0,22.0,37.0,10.0,26.0,5.0,8.0,0.0,5.0,11.0,8.0,22.0,19.0,54.0,101.0
NonDivI-Dubuque,1,21.0,38.0,59.0,62.0,35.6,61.3,12.0,24.0,23.0,33.0,52.2,72.7,9.0,14.0,36.0,29.0,25.0,48.3,43.2,72.6,7.0,5.0,10.0,77.0,70.0,1.4,9.0,10.0,16.0,28.0,12.0,26.0,3.0,5.0,0.0,2.0,11.0,10.0,11.0,13.0,58.0,95.0
NonDivI-Illinois-Springfield,1,17.0,32.0,55.0,58.0,30.9,55.2,7.0,23.0,30.0,35.0,23.3,65.7,10.0,9.0,25.0,23.0,40.0,39.1,40.0,62.9,6.0,17.0,13.0,24.0,46.2,70.8,6.0,6.0,25.0,37.0,12.0,24.0,5.0,6.0,2.0,8.0,16.0,8.0,23.0,16.0,50.0,90.0
NonDivI-OhioChristian,1,16.0,47.0,56.0,75.0,28.6,62.7,13.0,41.0,35.0,55.0,37.1,74.5,3.0,6.0,21.0,20.0,14.3,30.0,31.2,66.7,5.0,8.0,77.0,10.0,1.4,80.0,14.0,19.0,11.0,27.0,8.0,30.0,4.0,17.0,2.0,3.0,26.0,9.0,13.0,7.0,40.0,108.0
NonDivI-Concordia(MI),1,27.0,31.0,53.0,69.0,50.9,44.9,18.0,22.0,31.0,39.0,58.1,56.4,9.0,9.0,22.0,30.0,40.9,30.0,59.4,51.4,5.0,17.0,77.0,23.0,1.4,73.9,6.0,15.0,25.0,21.0,12.0,16.0,4.0,13.0,2.0,3.0,19.0,7.0,20.0,10.0,68.0,88.0
NonDivI-VAWesleyan,1,24.0,31.0,64.0,60.0,37.5,51.7,14.0,23.0,32.0,38.0,43.8,60.5,10.0,8.0,32.0,22.0,31.2,36.4,45.3,58.3,2.0,10.0,36.0,15.0,6.7,66.7,12.0,9.0,22.0,29.0,13.0,20.0,3.0,2.0,1.0,4.0,9.0,4.0,12.0,8.0,60.0,80.0
